brand,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found,animal_cruelty_flag,animal_cruelty_note
Versace,Versace Product 224,Belt,Ostrich Leather,Leather,1 hide,Beige,Grain,Machine-made,United Kingdom,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,92001.25,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 224,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Balenciaga,Balenciaga Product 225,Belt,Crocodile Leather,Exotic Leather,1 skin,Black,Smooth,Machine-made,Italy,2022,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,93199.26,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 225,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Givenchy,Givenchy Product 226,Wallet,Ostrich Leather,Leather,1 hide,Black,Textured,Machine-made,United Kingdom,2025,LWG-certified tannery (if applicable),Ethically sourced leather,10608.71,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Givenchy Product 226,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Gucci,Gucci Product 227,Belt,Ostrich Leather,Leather,1 hide,Black,Smooth,Handcrafted,Spain,2025,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,64588.53,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 227,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Ostrich Leather - animal killed
Saint Laurent,Saint Laurent Product 228,Wallet,Calfskin (Bovine),Leather,1 hide,Beige,Grain,Handcrafted,France,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,11588.31,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 228,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Versace,Versace Product 229,Shoes,Bovine (Cowhide),Leather,1 hide,Black,Grain,Handcrafted,France,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,30700.59,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 229,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Bottega Veneta,Bottega Veneta Product 230,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Textured,Hand-stitched,Spain,2021,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,90702.4,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 230,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Dior,Dior Product 231,Bag,Lambskin (Sheepskin),Leather,1 hide,Red,Textured,Handcrafted,United Kingdom,2022,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,23905.11,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 231,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Louis Vuitton,Louis Vuitton Product 232,Shoes,Bovine (Cowhide),Leather,1 hide,Red,Smooth,Handcrafted,Italy,2020,LWG-certified tannery (if applicable),Ethically sourced leather,40739.84,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 232,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
Hermès,Hermès Product 233,Belt,Ostrich Leather,Leather,1 hide,Black,Grain,Machine-made,Spain,2023,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,72916.6,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 233,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Fendi,Fendi Product 234,Wallet,Crocodile Leather,Exotic Leather,1 skin,Brown,Embossed,Hand-stitched,United Kingdom,2025,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,34341.78,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 234,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Fendi,Fendi Product 235,Bag,Crocodile Leather,Exotic Leather,1 skin,Beige,Quilted,Handcrafted,France,2024,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,84950.13,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 235,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Tom Ford,Tom Ford Product 236,Bag,Crocodile Leather,Exotic Leather,1 skin,Black,Quilted,Hand-stitched,United Kingdom,2024,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,46577.29,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Tom Ford Product 236,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Saint Laurent,Saint Laurent Product 237,Bag,Calfskin (Bovine),Leather,1 hide,Brown,Embossed,Machine-made,Spain,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,90437.08,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 237,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Dior,Dior Product 238,Bag,Ostrich Leather,Leather,1 hide,Brown,Quilted,Handcrafted,United Kingdom,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,36595.29,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 238,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Louis Vuitton,Louis Vuitton Product 239,Belt,Calfskin (Bovine),Leather,1 hide,Beige,Textured,Handcrafted,United Kingdom,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,44682.9,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 239,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Miu Miu,Miu Miu Product 240,Bag,Calfskin (Bovine),Leather,1 hide,Red,Grain,Hand-stitched,United Kingdom,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,30139.18,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 240,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Louis Vuitton,Louis Vuitton Product 241,Shoes,Crocodile Leather,Exotic Leather,1 skin,Black,Grain,Hand-stitched,France,2022,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,24223.04,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 241,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
Miu Miu,Miu Miu Product 242,Wallet,Ostrich Leather,Leather,1 hide,Red,Textured,Handcrafted,Italy,2021,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,93874.56,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 242,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 243,Belt,Crocodile Leather,Exotic Leather,1 skin,Brown,Quilted,Handcrafted,France,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,31702.34,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 243,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Chanel,Chanel Product 244,Bag,Lambskin (Sheepskin),Leather,1 hide,Monogram,Embossed,Handcrafted,Italy,2021,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,37568.79,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 244,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Loewe,Loewe Product 245,Wallet,Calfskin (Bovine),Leather,1 hide,Red,Embossed,Handcrafted,France,2020,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,11719.74,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 245,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Fendi,Fendi Product 246,Shoes,Ostrich Leather,Leather,1 hide,Red,Grain,Machine-made,Spain,2021,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,14344.06,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 246,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Loewe,Loewe Product 247,Wallet,Calfskin (Bovine),Leather,1 hide,Brown,Quilted,Machine-made,Spain,2022,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,67609.58,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 247,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Burberry,Burberry Product 248,Bag,Lambskin (Sheepskin),Leather,1 hide,Black,Quilted,Machine-made,United Kingdom,2023,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,76234.33,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 248,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Chanel,Chanel Product 249,Shoes,Calfskin (Bovine),Leather,1 hide,Brown,Smooth,Hand-stitched,Italy,2023,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,32121.96,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 249,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Gucci,Gucci Product 250,Belt,Calfskin (Bovine),Leather,1 hide,Red,Textured,Handcrafted,France,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,35887.66,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 250,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Chanel,Chanel Product 251,Shoes,Ostrich Leather,Leather,1 hide,Beige,Textured,Hand-stitched,United Kingdom,2023,LWG-certified tannery (if applicable),Ethically sourced leather,58420.2,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 251,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Hermès,Hermès Product 252,Bag,Bovine (Cowhide),Leather,1 hide,Black,Smooth,Machine-made,Italy,2025,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,23814.07,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 252,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Loewe,Loewe Product 253,Belt,Bovine (Cowhide),Leather,1 hide,Monogram,Embossed,Machine-made,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,38698.72,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 253,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 254,Belt,Bovine (Cowhide),Leather,1 hide,Brown,Grain,Handcrafted,Italy,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,29407.38,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 254,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Valentino,Valentino Product 255,Wallet,Bovine (Cowhide),Leather,1 hide,Brown,Smooth,Machine-made,Italy,2020,LWG-certified tannery (if applicable),Strict sourcing from certified farms,81566.24,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{6,12}$",True,Valentino Product 255,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Wallet, Material: Bovine (Cowhide), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Hermès,Hermès Product 256,Bag,Lambskin (Sheepskin),Leather,1 hide,Monogram,Textured,Handcrafted,Spain,2023,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,18732.9,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 256,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Chanel,Chanel Product 257,Belt,Lambskin (Sheepskin),Leather,1 hide,Beige,Grain,Handcrafted,France,2022,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,72929.1,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 257,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Belt, Material: Lambskin (Sheepskin), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Chanel,Chanel Product 258,Belt,Calfskin (Bovine),Leather,1 hide,Monogram,Grain,Handcrafted,Spain,2024,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,49976.96,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 258,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Givenchy,Givenchy Product 259,Wallet,Calfskin (Bovine),Leather,1 hide,Brown,Grain,Handcrafted,United Kingdom,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,77970.6,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Givenchy Product 259,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Miu Miu,Miu Miu Product 260,Belt,Calfskin (Bovine),Leather,1 hide,Monogram,Textured,Hand-stitched,Spain,2023,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,31508.38,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 260,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 261,Bag,Calfskin (Bovine),Leather,1 hide,Red,Grain,Handcrafted,Spain,2020,LWG-certified tannery (if applicable),Ethically sourced leather,1653.27,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 261,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Burberry,Burberry Product 262,Bag,Bovine (Cowhide),Leather,1 hide,Brown,Embossed,Handcrafted,United Kingdom,2022,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,25871.64,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 262,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Brown",Brown,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
Burberry,Burberry Product 263,Wallet,Crocodile Leather,Exotic Leather,1 skin,Beige,Embossed,Handcrafted,France,2024,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,13281.83,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 263,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
